lead_id,month,year,state,numberOfCalls,callTimeMinute
1209,5,2019,Arkansas,1,0.78
1210,5,2019,,22,8.23
1211,5,2019,Arkansas,1,4.40
1212,5,2019,Arkansas,20,19.70
1213,4,2019,Arkansas,21,7.75
1214,4,2019,,9,17.08
1215,4,2019,Oklahoma,22,11.58
1216,4,2019,Oklahoma,19,9.52
1217,4,2019,Arkansas,6,1.58
1218,4,2019,,1,0.70
1219,4,2019,Arkansas,22,33.38
1220,4,2019,Arkansas,6,4.45
1221,4,2019,Oklahoma,4,2.33
1222,4,2019,Arkansas,4,2.32
1223,4,2019,Arkansas,5,3.78
1224,4,2019,Arkansas,1,0.73
1226,4,2019,Missouri,2,3.12
1227,3,2019,Oklahoma,17,21.63
1228,3,2019,Missouri,6,9.90
1229,3,2019,Arkansas,2,3.18
1230,3,2019,Arkansas,3,4.72
1231,3,2019,Missouri,12,30.02
1232,3,2019,Arkansas,9,78.08
1233,3,2019,Arkansas,23,11.65
1234,3,2019,Arkansas,1,0.65
1235,3,2019,Arkansas,10,9.63
1236,3,2019,Arkansas,2,1.40
1237,3,2019,Missouri,3,4.87
1238,3,2019,Arkansas,1,1.07
1239,3,2019,Arkansas,23,22.97
1241,3,2019,Missouri,1,12.63
1242,2,2019,Missouri,53,81.60
1243,2,2019,Arkansas,1,
1244,2,2019,Arkansas,1,5.45
1245,2,2019,Arkansas,25,133.43
1246,2,2019,Oklahoma,28,33.68
1247,1,2019,Missouri,5,22.55
1248,1,2019,Arkansas,1,0.93
1250,8,2019,Arkansas,3,1.65
1252,8,2019,KS,5,3.33
1253,7,2019,Arkansas,5,5.45
1254,7,2019,,8,5.52
1255,7,2019,Arkansas,30,22.22
1256,7,2019,Arkansas,23,46.87
1257,7,2019,Arkansas,22,13.52
1258,7,2019,Arkansas,12,8.23
1259,7,2019,IL,23,15.27
1260,7,2019,,7,4.95
1261,7,2019,,1,1.32
1262,7,2019,,2,2.20
1263,7,2019,,23,4.62
1264,7,2019,,2,4.18
1265,7,2019,Arkansas,8,4.65
1266,7,2019,Arkansas,24,4.90
1267,7,2019,Arkansas,7,11.48
1268,7,2019,Missouri,11,91.00
1269,7,2019,,8,3.60
1270,7,2019,Arkansas,2,1.27
1271,7,2019,,4,9.20
1272,7,2019,Arkansas,3,24.68
1273,7,2019,,2,1.18
1274,7,2019,,7,3.12
1275,7,2019,Missouri,5,2.75
1276,7,2019,Arkansas,18,7.65
1277,7,2019,Oklahoma,23,65.95
1278,7,2019,,10,9.98
1279,7,2019,,6,0.83
1280,7,2019,Oklahoma,30,23.93
1281,7,2019,Arkansas,31,115.75
1282,7,2019,Arkansas,4,1.48
1283,7,2019,Arkansas,12,8.85
1284,7,2019,Arkansas,18,106.13
1285,7,2019,,30,15.70
1286,7,2019,Arkansas,5,14.30
1287,7,2019,Oklahoma,20,30.12
1288,6,2019,,1,1.27
1289,6,2019,,21,6.38
1290,6,2019,,22,10.85
1291,6,2019,Arkansas,4,11.87
1292,6,2019,Oklahoma,23,14.73
1293,6,2019,Oklahoma,5,26.58
1294,6,2019,Arkansas,4,11.72
1295,6,2019,Arkansas,19,16.50
1296,6,2019,,22,10.98
1297,6,2019,Missouri,11,96.18
1298,6,2019,Arkansas,1,1.70
1299,6,2019,Oklahoma,9,13.53
1300,6,2019,Missouri,14,11.77
1301,6,2019,Oklahoma,2,2.40
1302,6,2019,Missouri,5,7.10
1303,6,2019,,6,1.08
1304,6,2019,Oklahoma,5,20.68
1305,6,2019,Oklahoma,4,114.62
1306,6,2019,Arkansas,27,84.32
1307,6,2019,Missouri,17,27.63
1308,6,2019,Arkansas,19,6.60
1309,6,2019,Arkansas,1,1.45
1310,5,2019,,28,11.08
1311,5,2019,Missouri,4,2.35
1312,5,2019,Arkansas,32,125.08
1313,5,2019,Oklahoma,7,3.35
1314,5,2019,Arkansas,22,31.83
1315,5,2019,Arkansas,3,2.02
1316,5,2019,Arkansas,17,30.10
1317,5,2019,Arkansas,19,29.17
1318,5,2019,Missouri,17,47.33
1319,5,2019,Arkansas,19,101.05
1320,5,2019,Oklahoma,8,39.97
1321,5,2019,Arkansas,22,16.73
1322,5,2019,Oklahoma,4,6.28
1323,5,2019,Arkansas,21,20.05
1324,5,2019,Arkansas,23,81.42
1325,5,2019,Oklahoma,1,1.15
1326,5,2019,Arkansas,14,111.93
1327,5,2019,Arkansas,22,20.82
1328,5,2019,Missouri,2,2.40
1329,5,2019,Missouri,22,29.10
1330,5,2019,Missouri,22,23.73
1331,5,2019,Missouri,26,28.37
1332,5,2019,Arkansas,2,18.08
1333,5,2019,Arkansas,30,25.13
1334,5,2019,Arkansas,2,1.62
1335,5,2019,Arkansas,20,14.27
1336,4,2019,Arkansas,8,6.80
1337,4,2019,Arkansas,23,26.97
1338,4,2019,Oklahoma,1,0.20
1339,4,2019,Missouri,1,5.80
1340,4,2019,,21,7.15
1343,4,2019,Arkansas,1,1.47
1344,4,2019,Arkansas,20,12.28
1345,4,2019,Arkansas,3,2.13
1346,4,2019,Missouri,7,3.92
1347,4,2019,Arkansas,2,2.18
1348,4,2019,Missouri,19,12.58
1349,4,2019,Arkansas,4,2.82
1350,4,2019,Arkansas,22,17.10
1351,4,2019,Missouri,25,23.42
1352,4,2019,Arkansas,3,1.83
1353,4,2019,Arkansas,19,101.15
1354,4,2019,Missouri,23,59.47
1355,4,2019,Arkansas,27,127.20
1356,4,2019,Arkansas,19,13.82
1357,4,2019,Arkansas,3,5.90
1358,4,2019,,26,3.38
1359,4,2019,Arkansas,28,110.42
1360,4,2019,TN,2,1.78
1361,3,2019,Arkansas,18,20.13
1362,3,2019,Arkansas,28,142.55
1363,3,2019,Missouri,22,22.00
1364,3,2019,Arkansas,14,24.67
1365,3,2019,Missouri,1,0.88
1366,3,2019,Arkansas,13,5.37
1367,3,2019,,21,13.37
1368,3,2019,Arkansas,18,15.52
1369,3,2019,Missouri,7,7.63
1370,3,2019,Missouri,15,9.38
1371,3,2019,,11,6.32
1372,3,2019,Missouri,7,4.42
1373,3,2019,Missouri,13,138.72
1374,3,2019,Arkansas,8,4.43
1375,3,2019,Arkansas,2,5.65
1376,3,2019,,1,1.43
1377,3,2019,Missouri,3,4.10
1378,3,2019,Missouri,1,1.73
1379,3,2019,Missouri,19,67.82
1380,3,2019,Missouri,2,4.55
1381,3,2019,Arkansas,5,9.60
1382,3,2019,Missouri,19,17.78
1383,3,2019,,16,25.00
1384,3,2019,Arkansas,6,15.77
1385,3,2019,Arkansas,29,25.12
1386,3,2019,Arkansas,15,21.60
1387,3,2019,Oklahoma,20,14.85
1388,3,2019,,21,10.27
1389,3,2019,,23,21.33
1390,3,2019,,1,4.88
1391,3,2019,Arkansas,9,17.15
1392,3,2019,,3,1.42
1393,3,2019,Missouri,1,1.97
1394,3,2019,,9,17.13
1395,3,2019,Arkansas,19,20.00
1396,3,2019,Missouri,18,19.68
1397,3,2019,Arkansas,9,4.60
1398,3,2019,Arkansas,1,0.78
1399,3,2019,Missouri,16,119.62
1400,3,2019,Missouri,17,53.55
1401,3,2019,Arkansas,6,3.68
1402,3,2019,Arkansas,1,1.12
1403,3,2019,Arkansas,1,1.02
1404,3,2019,Arkansas,19,17.43
1405,3,2019,Arkansas,1,1.80
1406,3,2019,,1,1.92
1407,3,2019,Arkansas,3,1.15
1408,3,2019,Arkansas,3,2.97
1409,3,2019,Arkansas,9,10.67
1410,2,2019,Missouri,14,138.62
1411,2,2019,,23,9.73
1412,2,2019,Arkansas,7,4.62
1413,2,2019,Arkansas,1,1.18
1414,2,2019,Oklahoma,4,6.35
1415,2,2019,Arkansas,11,23.63
1416,2,2019,Arkansas,16,8.72
1417,2,2019,Arkansas,1,12.43
1418,2,2019,,15,28.75
1419,2,2019,Arkansas,19,23.27
1420,2,2019,Arkansas,16,1.90
1421,2,2019,Arkansas,10,10.25
1422,2,2019,Arkansas,2,2.12
1423,2,2019,Arkansas,11,28.72
1424,2,2019,Missouri,19,9.25
1425,2,2019,Arkansas,6,4.53
1426,2,2019,Arkansas,23,27.20
1427,2,2019,Missouri,3,3.37
1428,2,2019,Arkansas,1,1.07
1429,2,2019,Missouri,9,8.42
1430,2,2019,Missouri,19,116.05
1431,2,2019,Arkansas,1,15.48
1432,2,2019,Oklahoma,14,5.85
1433,2,2019,Oklahoma,18,42.73
1434,2,2019,Arkansas,18,10.15
1435,2,2019,,22,11.88
1436,2,2019,Arkansas,3,2.70
1437,2,2019,Arkansas,3,2.08
1438,2,2019,Arkansas,22,12.07
1439,2,2019,Arkansas,2,2.87
1440,2,2019,Missouri,12,9.92
1441,2,2019,Oklahoma,5,6.35
1442,2,2019,Missouri,6,3.87
1443,1,2019,Arkansas,11,20.87
1444,1,2019,Missouri,22,15.65
1445,1,2019,Arkansas,3,3.05
1446,1,2019,Arkansas,19,18.47
1447,1,2019,Arkansas,2,1.77
1448,1,2019,Arkansas,19,24.40
1449,1,2019,Missouri,6,14.77
1451,1,2019,Arkansas,19,6.82
1452,1,2019,,3,1.68
1453,8,2019,Arkansas,17,53.63
1454,8,2019,Missouri,2,15.53
1457,8,2019,Arkansas,16,147.48
1458,8,2019,Missouri,10,89.88
1459,8,2019,Arkansas,11,29.23
1460,8,2019,Missouri,11,33.83
1462,8,2019,Arkansas,22,11.35
1463,8,2019,Arkansas,1,0.33
